Altium Designer Pick and Place Locations
F:\n-blocks\n-dap\asm\Pick_Place.csv

========================================================================================================================
File Design Information:

Date:       13-01-20
Time:       17:42
Revision:   1d84e08343e56a6418d8d28dc4c3a437faf40b9e
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"JP2","TopLayer","15.1250","2.6250","180"
"Y1","TopLayer","2.6000","9.7000","90"
"R8","TopLayer","13.5700","7.6377","90"
"SW4","TopLayer","18.7000","12.0750","90"
"SW3","TopLayer","5.0250","0.6500","90"
"R15","TopLayer","2.0873","5.2250","180"
"R14","TopLayer","2.0827","6.2750","360"
"U2","TopLayer","5.6750","4.0750","90"
"C10","TopLayer","3.3000","3.6623","270"
"C8","TopLayer","7.9700","4.0877","90"
"R7","TopLayer","20.5077","8.6500","360"
"R5","TopLayer","20.5127","7.6500","360"
"D3","TopLayer","18.0072","8.6499","180"
"D2","TopLayer","18.0072","7.6499","180"
"R4","TopLayer","11.5123","12.0250","180"
"R3","TopLayer","11.5073","13.2000","180"
"U1","TopLayer","7.6450","9.3000","360"
"R10","TopLayer","15.0250","10.1123","270"
"R6","TopLayer","14.7250","7.6377","90"
"R2","TopLayer","20.5127","6.6250","360"
"R1","TopLayer","4.9377","13.1750","360"
"Q1","TopLayer","13.1377","10.3119","180"
"D1","TopLayer","18.0122","6.6249","180"
"C7","TopLayer","2.0873","7.3500","180"
"C6","TopLayer","2.3877","11.9500","360"
"C5","TopLayer","4.5127","6.1000","360"
"C4","TopLayer","7.4623","13.1750","180"
"C3","TopLayer","15.8750","7.6373","270"
"C2","TopLayer","12.4500","7.6373","270"
"C1","TopLayer","2.3677","13.1650","180"
"R12","TopLayer","17.4623","9.6750","180"
"R9","TopLayer","14.0750","12.4127","90"
"D5","TopLayer","1.5000","3.4000","270"
